Date,Event Description,Category,Source
01-08-1990,Gulf War begins,Conflict,https://en.wikipedia.org/wiki/Gulf_War
01-01-1991,Gulf War escalates (Operation Desert Storm),Conflict,https://www.ecb.europa.eu
11-09-2001,9/11 terrorist attacks,Conflict,https://www.ecb.europa.eu
01-03-2003,Invasion of Iraq,Conflict,https://www.ecb.europa.eu
01-07-2008,Global financial crisis (oil price peak),Economic Shock,https://en.wikipedia.org/wiki/Price_of_oil
01-01-2011,Arab Spring and Libyan civil war,Conflict,https://www.ecb.europa.eu
01-01-2012,Iran sanctions tightened,Sanctions,https://www.nature.com
01-06-2014,Oil glut begins (OPEC overproduction),OPEC Policy,https://en.wikipedia.org/wiki/Price_of_oil
01-11-2014,"OPEC maintains production, price war starts",OPEC Policy,https://en.wikipedia.org/wiki/Price_of_oil
01-01-2016,OPEC production cut agreement,OPEC Policy,https://en.wikipedia.org/wiki/Price_of_oil
01-01-2018,U.S. reimposes Iran sanctions,Sanctions,https://en.wikipedia.org/wiki/Price_of_oil
01-01-2019,Venezuela sanctions imposed,Sanctions,https://en.wikipedia.org/wiki/Price_of_oil
01-04-2020,OPEC+ production cuts during COVID-19,OPEC Policy,https://www.investopedia.com
01-02-2022,Russia invades Ukraine,Conflict,https://www.ecb.europa.eu
